"ACCOUNTNUMBER","ACCOUNTSOURCE","ACTIVE__C","ANNUALREVENUE","BILLINGADDRESS","BILLINGCITY","BILLINGCOUNTRY","BILLINGGEOCODEACCURACY","BILLINGLATITUDE","BILLINGLONGITUDE","BILLINGPOSTALCODE","BILLINGSTATE","BILLINGSTREET","CLEANSTATUS","CREATEDBYID","CREATEDDATE","CUSTOMERPRIORITY__C","DANDBCOMPANYID","DESCRIPTION","DUNSNUMBER","FAX","ID","INDUSTRY","ISDELETED","JIGSAW","JIGSAWCOMPANYID","LASTACTIVITYDATE","LASTMODIFIEDBYID","LASTMODIFIEDDATE","LASTREFERENCEDDATE","LASTVIEWEDDATE","MASTERRECORDID","NAICSCODE","NAICSDESC","NAME","NUMBEROFEMPLOYEES","NUMBEROFLOCATIONS__C","OPERATINGHOURSID","OWNERID","OWNERSHIP","PARENTID","PHONE","PHOTOURL","RATING","SLAEXPIRATIONDATE__C","SLASERIALNUMBER__C","SLA__C","SHIPPINGADDRESS","SHIPPINGCITY","SHIPPINGCOUNTRY","SHIPPINGGEOCODEACCURACY","SHIPPINGLATITUDE","SHIPPINGLONGITUDE","SHIPPINGPOSTALCODE","SHIPPINGSTATE","SHIPPINGSTREET","SIC","SICDESC","SITE","SYSTEMMODSTAMP","TICKERSYMBOL","TRADESTYLE","TYPE","UPSELLOPPORTUNITY__C","WEBSITE","YEARSTARTED"
"","","","","","","","","","","","","","Pending","005bm000001NJ9SAAW","2024-04-23T02:39:57.000Z","","","","","","001bm000006EeE2AAK","","false","","","","005bm000001NJ9SAAW","2024-04-23T02:39:57.000Z","","","","","","Sample Account for Entitlements","","","","005bm000001NJ9SAAW","","","","/services/images/photo/001bm000006EeE2AAK","","","","","","","","","","","","","","","","","2024-04-23T02:39:57.000Z","","","","","",""
"CC634267","","Yes","5.0E7","","Lawrence","USA","","","","66045","KS","1301 Hoch Drive","Pending","005bm000001NG2nAAG","2024-04-23T02:37:32.000Z","Low","","","","(785) 241-6201","001bm000006FNnIAAW","Consulting","false","","","","005bm000001NG2nAAG","2024-04-23T02:37:32.000Z","2024-04-23T21:20:31.000Z","2024-04-23T21:20:31.000Z","","","","Dickenson plc","120","2.0","","005bm000001NG2nAAG","Private","","(785) 241-6200","/services/images/photo/001bm000006FNnIAAW","","2024-11-17","7425","Bronze","","Lawrence","USA","","","","66045","KS","1301 Hoch Drive","6752","","","2024-04-23T02:37:32.000Z","","","Customer - Channel","No","dickenson-consulting.com",""
"CC947211","","Yes","9.5E8","","Portland","","","","","","OR","620 SW 5th Avenue Suite 400
Portland, Oregon 97204
United States","Pending","005bm000001NG2nAAG","2024-04-23T02:37:32.000Z","Medium","","Commerical logistics and transportation company.","","(503) 421-7801","001bm000006FNnLAAW","Transportation","false","","","","005bm000001NG2nAAG","2024-04-23T02:37:32.000Z","2024-04-23T19:56:21.000Z","2024-04-23T19:56:21.000Z","","","","Express Logistics and Transport","12300","150.0","","005bm000001NG2nAAG","Public","","(503) 421-7800","/services/images/photo/001bm000006FNnLAAW","Cold","2024-11-17","4724","Platinum","","","","","","","","","620 SW 5th Avenue Suite 400
Portland, Oregon 97204
United States","8742","","","2024-04-23T02:37:32.000Z","EXLT","","Customer - Channel","Maybe","www.expressl&t.net",""
"CD736025","","Yes","","","Tucson","","","","","","AZ","888 N Euclid 
Hallis Center, Room 501
Tucson, AZ 85721
United States","Pending","005bm000001NG2nAAG","2024-04-23T02:37:32.000Z","Medium","","Leading university in AZ offering undergraduate and graduate programs in arts and humanities, pure sciences, engineering, business, and medicine.","","(520) 773-9060","001bm000006FNnMAAW","Education","false","","","","005bm000001NG2nAAG","2024-04-23T02:37:32.000Z","","","","","","University of Arizona","39000","3.0","","005bm000001NG2nAAG","Other","","(520) 773-9050","/services/images/photo/001bm000006FNnMAAW","Warm","2024-05-17","8350","Gold","","","","","","","","","888 N Euclid 
Hallis Center, Room 501
Tucson, AZ 85721
United States","7321","","","2024-04-23T02:37:32.000Z","","","Customer - Direct","Yes","www.universityofarizona.com",""
"CD355119-A","","Yes","","","","","","","","","UK","Kings Park, 17th Avenue, Team Valley Trading Estate,
Gateshead, Tyne and Wear NE26 3HS
United Kingdom","Pending","005bm000001NG2nAAG","2024-04-23T02:37:32.000Z","High","","","","+44 191 4956620","001bm000006FNnNAAW","Energy","false","","","","005bm000001NG2nAAG","2024-04-23T02:37:32.000Z","","","","","","United Oil & Gas, UK","24000","34.0","","005bm000001NG2nAAG","Public","","+44 191 4956203","/services/images/photo/001bm000006FNnNAAW","","2024-05-17","3479","Platinum","","","","","","","","","Kings Park, 17th Avenue, Team Valley Trading Estate,
Gateshead, Tyne and Wear NE26 3HS
United Kingdom","4437","","","2024-04-23T02:37:32.000Z","UOS","","Customer - Direct","No","http://www.uos.com",""
"CD355120-B","","Yes","","","Singapore","","","","","","Singapore","9 Tagore Lane
Singapore, Singapore 787472
Singapore","Pending","005bm000001NG2nAAG","2024-04-23T02:37:32.000Z","High","","","","(650) 450-8820","001bm000006FNnOAAW","Energy","false","","","","005bm000001NG2nAAG","2024-04-23T02:37:32.000Z","","","","","","United Oil & Gas, Singapore","3000","6.0","","005bm000001NG2nAAG","Public","","(650) 450-8810","/services/images/photo/001bm000006FNnOAAW","","2024-11-17","2457","Platinum","","","","","","","","","9 Tagore Lane
Singapore, Singapore 787472
Singapore","4437","","","2024-04-23T02:37:32.000Z","UOS","","Customer - Direct","Maybe","http://www.uos.com",""
"CC978213","","Yes","3.0E7","","Mountain View","","","","","","CA","345 Shoreline Park
Mountain View, CA 94043
USA","Pending","005bm000001NG2nAAG","2024-04-23T02:37:32.000Z","Low","","Genomics company engaged in mapping and sequencing of the human genome and developing gene-based drugs","","(650) 867-9895","001bm000006FNnPAAW","Biotechnology","false","","","","005bm000001NG2nAAG","2024-04-23T02:37:32.000Z","","","","","","GenePoint","265","1.0","","005bm000001NG2nAAG","Private","","(650) 867-3450","/services/images/photo/001bm000006FNnPAAW","Cold","2024-11-17","7324","Bronze","","","","","","","","","345 Shoreline Park
Mountain View, CA 94043
USA","3712","","","2024-04-23T02:37:32.000Z","","","Customer - Channel","Yes","www.genepoint.com",""
"","","","","","San Francisco","US","","","","94087","CA","The Landmark @ One Market","Pending","005bm000001NG2nAAG","2024-04-23T02:37:32.000Z","","","","","(415) 901-7002","001bm000006FNnQAAW","","false","","","","005bm000001NG2nAAG","2024-04-23T02:37:32.000Z","","","","","","sForce","","","","005bm000001NG2nAAG","","","(415) 901-7000","/services/images/photo/001bm000006FNnQAAW","","","","","","","","","","","","","","","","","2024-04-23T02:37:32.000Z","","","","","www.sforce.com",""
"CD451796","","Yes","1.39E8","","Austin","","","","","","TX","312 Constitution Place
Austin, TX 78767
USA","Pending","005bm000001NG2nAAG","2024-04-23T02:37:32.000Z","Medium","","Edge, founded in 1998, is a start-up based in Austin, TX. The company designs and manufactures a device to convert music from one digital format to another. Edge sells its product through retailers and its own website.","","(512) 757-9000","001bm000006FNnFAAW","Electronics","false","","","","005bm000001NG2nAAG","2024-04-23T02:37:32.000Z","2024-04-23T19:54:48.000Z","2024-04-23T19:54:48.000Z","","","","Edge Communications","1000","2.0","","005bm000001NG2nAAG","Public","","(512) 757-6000","/services/images/photo/001bm000006FNnFAAW","Hot","2024-05-17","2657","Silver","","","","","","","","","312 Constitution Place
Austin, TX 78767
USA","6576","","","2024-04-23T02:37:32.000Z","EDGE","","Customer - Direct","Maybe","http://edgecomm.com",""
"CD656092","","","3.5E8","","Burlington","USA","","","","27215","NC","525 S. Lexington Ave","Pending","005bm000001NG2nAAG","2024-04-23T02:37:32.000Z","","","","","(336) 222-8000","001bm000006FNnGAAW","Apparel","false","","","","005bm000001NG2nAAG","2024-04-23T02:37:32.000Z","","","","","","Burlington Textiles Corp of America","9000","6.0","","005bm000001NG2nAAG","Public","","(336) 222-7000","/services/images/photo/001bm000006FNnGAAW","Warm","2024-05-17","5367","Silver","","","","","","","","","","546732","","","2024-04-23T02:37:32.000Z","BTXT","","Customer - Direct","Maybe","www.burlington.com",""
